"product-card href","card-logo src","card-img src","card-model","card-desc","card-price","card-price 2","card-label"
"https://www.rentalsegye.com/product.php?no=19673&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_3rUDe0nN_logo_chungho_525x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-3717215245_RMkvL13N_0_224x224.jpg","CHDH-120JA","[청호나이스] 제습공기청정기 릴리 9평형","20,900","0",""
"https://www.rentalsegye.com/product.php?no=42324&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_RW3hHro1_logo_sk_194x100.png","https://tlpartner.speedycdn.net/data/file/item_product/990098083_EblirjYG_ACL-16C_400x400.gif","ACL-22C","[SK매직] 올클린 디아트 공기청정기 22평형","24,900","0",""
"https://www.rentalsegye.com/product.php?no=11327&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_5PtelWdF_EBA994EC9DB8_1_224x224.png","AC-28W10FWS","[쿠쿠] 인스퓨어 W8300 공기청정기 29평형","24,210","0",""
"https://www.rentalsegye.com/product.php?no=11328&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_pRQd9fUT_logo_cuckoo_499x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_s3NedQZL_EBA994EC9DB8_1_224x224.png","AC-25W10FWS","[쿠쿠] 인스퓨어 W8200 공기청정기 25평형","20,900","0",""
"https://www.rentalsegye.com/product.php?no=11381&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_qZYoMiDH_logo_quming_325x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990093989_iTXy2Scp_EBA994EC9DB8_1_224x224.png","A-C102W","[현대큐밍] 더케어 큐브 공기청정기 11평형","13,900","0",""
"https://www.rentalsegye.com/product.php?no=11427&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-1028680750_wkziEvK6_191202AP-1019D_EAB7B8EBA088EC9DB4_EC9AB0ECB8A1_224x224.png","AP-1019D","[코웨이] 아이콘 공기청정기 10평형 라이트 웜 그레이","27,900","0",""
"https://www.rentalsegye.com/product.php?no=43239&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-990098083_oUzqOZbY_AP-3525I_224x224.png","AP-3525I","[코웨이] 파워업 공기청정기2 35평형","45,900","15,900",""
"https://www.rentalsegye.com/product.php?no=11438&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_3rUDe0nN_logo_chungho_525x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-3731255601_vhuGotqI_EBA994EC9DB8_1_224x224.png","AH-12H6050","[청호나이스] 가습공기청정기 12평형","25,900","0","타사보상"
"https://www.rentalsegye.com/product.php?no=11449&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-2041769634_R4xDuKPg_thumb-1028680750_Sh5iMkCa_AP-3018B_02_400x400_224x224.png","AP-3018B","[코웨이] 콰트로파워 공기청정기 30평형","51,900","21,900",""
"https://www.rentalsegye.com/product.php?no=11451&cid=1379&gid=1407","https://tlpartner.speedycdn.net/data/file/item_code/990098083_QmYlbwPv_logo_coway_391x100.png","https://tlpartner.speedycdn.net/data/file/item_product/thumb-1028680750_LZClFNq8_thumb_01_224x224.png","AP-3519A","[코웨이] 공기청정기 34평","51,900","21,900",""
